ADATE,Year,Month,Day,Anamolytype,Anamoly
1990-09-11,1990,9,11,UNK,1
1992-04-15,1992,4,15,UNK,1
1987-10-27,1987,10,27,UNK,1
1978-10-04,1978,10,4,ESD,1
1974-06-15,1974,6,15,ESD,1
1974-07-28,1974,7,28,ESD,1
1977-07-24,1977,7,24,ESD,1
1983-02-21,1983,2,21,ESD,1
1983-04-13,1983,4,13,ESD,1
1983-09-14,1983,9,14,ESD,1
1984-04-13,1984,4,13,ESD,1
1984-08-19,1984,8,19,ESD,1
1984-09-01,1984,9,1,ESD,1
1978-12-16,1978,12,16,UNK,1
1979-09-07,1979,9,7,ESD,1
1985-11-14,1985,11,14,UNK,1
1986-02-02,1986,2,2,ESD,1
1987-10-23,1987,10,23,UNK,1
1987-11-05,1987,11,5,UNK,1
1987-12-21,1987,12,21,UNK,1
1988-09-21,1988,9,21,UNK,1
1984-08-12,1984,8,12,UNK,1
1984-09-30,1984,9,30,ESD,1
1984-12-07,1984,12,7,ESD,1
1984-12-08,1984,12,8,UNK,1
1984-12-19,1984,12,19,ESD,1
1984-12-20,1984,12,20,ESD,1
1985-01-20,1985,1,20,ESD,1
1985-03-08,1985,3,8,ESD,1
1985-03-30,1985,3,30,UNK,1
1985-10-21,1985,10,21,ESD,1
1985-11-17,1985,11,17,UNK,1
1986-01-30,1986,1,30,ESD,1
1986-02-21,1986,2,21,UNK,1
1986-02-24,1986,2,24,ESD,1
1986-03-05,1986,3,5,ESD,1
1986-04-02,1986,4,2,UNK,1
1986-04-13,1986,4,13,UNK,1
1987-09-04,1987,9,4,ESD,1
1987-09-09,1987,9,9,UNK,1
1987-10-15,1987,10,15,UNK,1
1988-06-07,1988,6,7,UNK,1
1989-01-22,1989,1,22,UNK,1
1989-04-17,1989,4,17,UNK,1
1989-04-19,1989,4,19,UNK,1
1982-11-11,1982,11,11,UNK,1
1983-04-09,1983,4,9,ESD,1
1983-05-06,1983,5,6,ESD,1
1983-06-16,1983,6,16,ESD,1
1983-07-28,1983,7,28,ESD,1
1983-10-11,1983,10,11,ESD,1
1983-10-19,1983,10,19,ESD,1
1983-10-25,1983,10,25,ESD,1
1983-10-31,1983,10,31,ESD,1
1983-11-03,1983,11,3,ESD,1
1983-11-10,1983,11,10,ESD,1
1983-12-09,1983,12,9,ESD,1
1983-12-12,1983,12,12,ESD,1
1983-12-13,1983,12,13,ESD,1
1983-12-26,1983,12,26,ESD,1
1984-03-02,1984,3,2,ESD,1
1984-03-03,1984,3,3,ESD,1
1984-03-07,1984,3,7,ESD,1
1984-03-23,1984,3,23,ESD,1
1984-03-29,1984,3,29,ESD,1
1984-03-31,1984,3,31,ESD,1
1984-04-02,1984,4,2,ESD,1
1984-04-03,1984,4,3,ESD,1
1984-04-28,1984,4,28,ESD,1
1984-04-29,1984,4,29,ESD,1
1984-05-23,1984,5,23,ESD,1
1984-06-05,1984,6,5,UNK,1
1984-06-18,1984,6,18,ESD,1
1984-07-15,1984,7,15,ESD,1
1984-07-17,1984,7,17,ESD,1
1984-08-05,1984,8,5,ESD,1
1984-09-11,1984,9,11,ESD,1
1984-09-24,1984,9,24,ESD,1
1984-09-27,1984,9,27,ESD,1
1984-10-07,1984,10,7,ESD,1
1984-10-09,1984,10,9,ESD,1
1984-10-10,1984,10,10,ESD,1
1984-10-11,1984,10,11,ESD,1
1984-10-12,1984,10,12,ESD,1
1984-10-13,1984,10,13,ESD,1
1984-10-14,1984,10,14,UNK,1
1984-10-17,1984,10,17,ESD,1
1984-10-22,1984,10,22,ESD,1
1984-10-23,1984,10,23,ESD,1
1984-10-24,1984,10,24,ESD,1
1984-10-25,1984,10,25,ESD,1
1984-11-02,1984,11,2,ESD,1
1984-11-07,1984,11,7,ESD,1
1984-11-19,1984,11,19,ESD,1
