ADATE,Year,Month,Day,Anamolytype,Anamoly,Date_x,Kp,ap,Date_y
1990-09-11,1990,9,11,UNK,1,1990-09-11,3.79175,24.875,1990-09-11
1992-04-15,1992,4,15,UNK,1,1992-04-15,2.29175,9.625,1992-04-15
1987-10-27,1987,10,27,UNK,1,1987-10-27,4.416625,35.25,1987-10-27
1978-10-04,1978,10,4,ESD,1,1978-10-04,3.16675,17.25,1978-10-04
1974-06-15,1974,6,15,ESD,1,1974-06-15,4.458375,37.125,1974-06-15
1974-07-28,1974,7,28,ESD,1,1974-07-28,2.958375,18.125,1974-07-28
1977-07-24,1977,7,24,ESD,1,1977-07-24,1.833375,6.875,1977-07-24
1983-02-21,1983,2,21,ESD,1,1983-02-21,4.5,36.5,1983-02-21
1983-04-13,1983,4,13,ESD,1,1983-04-13,4.25,36.0,1983-04-13
1983-09-14,1983,9,14,ESD,1,1983-09-14,1.70825,6.25,1983-09-14
1984-04-13,1984,4,13,ESD,1,1984-04-13,2.95825,14.625,1984-04-13
1984-08-19,1984,8,19,ESD,1,1984-08-19,2.41675,14.125,1984-08-19
1984-09-01,1984,9,1,ESD,1,1984-09-01,2.333375,10.875,1984-09-01
1978-12-16,1978,12,16,UNK,1,1978-12-16,2.833375,13.75,1978-12-16
1979-09-07,1979,9,7,ESD,1,1979-09-07,1.29175,5.5,1979-09-07
1985-11-14,1985,11,14,UNK,1,1985-11-14,3.083375,16.625,1985-11-14
1986-02-02,1986,2,2,ESD,1,1986-02-02,1.70825,6.375,1986-02-02
1987-10-23,1987,10,23,UNK,1,1987-10-23,2.291625,11.0,1987-10-23
1987-11-05,1987,11,5,UNK,1,1987-11-05,2.2085,10.0,1987-11-05
1987-12-21,1987,12,21,UNK,1,1987-12-21,2.2498750000000003,10.125,1987-12-21
1988-09-21,1988,9,21,UNK,1,1988-09-21,2.416625,11.0,1988-09-21
1984-08-12,1984,8,12,UNK,1,1984-08-12,2.91675,15.25,1984-08-12
1984-09-30,1984,9,30,ESD,1,1984-09-30,1.999875,10.625,1984-09-30
1984-12-07,1984,12,7,ESD,1,1984-12-07,3.29175,18.25,1984-12-07
1984-12-08,1984,12,8,UNK,1,1984-12-08,1.999875,8.25,1984-12-08
1984-12-19,1984,12,19,ESD,1,1984-12-19,1.91675,7.625,1984-12-19
1984-12-20,1984,12,20,ESD,1,1984-12-20,1.6665,6.375,1984-12-20
1985-01-20,1985,1,20,ESD,1,1985-01-20,1.5,6.25,1985-01-20
1985-03-08,1985,3,8,ESD,1,1985-03-08,3.83325,26.875,1985-03-08
1985-03-30,1985,3,30,UNK,1,1985-03-30,1.66675,7.25,1985-03-30
1985-10-21,1985,10,21,ESD,1,1985-10-21,2.79175,16.125,1985-10-21
1985-11-17,1985,11,17,UNK,1,1985-11-17,2.625,14.375,1985-11-17
1986-01-30,1986,1,30,ESD,1,1986-01-30,2.875125,14.5,1986-01-30
1986-02-21,1986,2,21,UNK,1,1986-02-21,3.833375,26.5,1986-02-21
1986-02-24,1986,2,24,ESD,1,1986-02-24,3.375,19.125,1986-02-24
1986-03-05,1986,3,5,ESD,1,1986-03-05,2.041625,8.5,1986-03-05
1986-04-02,1986,4,2,UNK,1,1986-04-02,1.41675,5.25,1986-04-02
1986-04-13,1986,4,13,UNK,1,1986-04-13,1.375,5.125,1986-04-13
1987-09-04,1987,9,4,ESD,1,1987-09-04,1.75,6.5,1987-09-04
1987-09-09,1987,9,9,UNK,1,1987-09-09,2.125125,9.625,1987-09-09
1987-10-15,1987,10,15,UNK,1,1987-10-15,3.833375,26.25,1987-10-15
1988-06-07,1988,6,7,UNK,1,1988-06-07,1.6251250000000002,6.375,1988-06-07
1989-01-22,1989,1,22,UNK,1,1989-01-22,4.0,29.5,1989-01-22
1989-04-17,1989,4,17,UNK,1,1989-04-17,2.08325,10.375,1989-04-17
