ADATE,Year,Month,Day,Anamolytype,Anamoly,Kp,ap,Date
1963-02-14,1963,2,14,UNK,1,3.125,18.75,1963-02-14
1963-02-15,1963,2,15,NA,0,1.916625,7.625,1963-02-15
1963-02-16,1963,2,16,NA,0,0.999875,4.5,1963-02-16
1963-02-17,1963,2,17,NA,0,0.875125,3.5,1963-02-17
1963-02-18,1963,2,18,NA,0,0.625,2.75,1963-02-18
1963-02-19,1963,2,19,NA,0,0.375,1.75,1963-02-19
1963-02-20,1963,2,20,NA,0,2.166625,9.375,1963-02-20
1963-02-21,1963,2,21,NA,0,1.5,6.0,1963-02-21
1963-02-22,1963,2,22,NA,0,1.70825,6.375,1963-02-22
1963-02-23,1963,2,23,NA,0,1.4165,5.75,1963-02-23
1963-02-24,1963,2,24,NA,0,0.4165,2.0,1963-02-24
1963-02-25,1963,2,25,NA,0,1.0,4.125,1963-02-25
1963-02-26,1963,2,26,NA,0,1.33325,5.125,1963-02-26
1963-02-27,1963,2,27,NA,0,0.416625,1.75,1963-02-27
1963-02-28,1963,2,28,NA,0,1.583375,6.75,1963-02-28
1963-03-01,1963,3,1,NA,0,2.916625,15.25,1963-03-01
1963-03-02,1963,3,2,NA,0,1.666625,6.125,1963-03-02
1963-03-03,1963,3,3,NA,0,1.874875,7.75,1963-03-03
1963-03-04,1963,3,4,NA,0,0.8335,3.5,1963-03-04
1963-03-05,1963,3,5,NA,0,0.791625,3.125,1963-03-05
1963-03-06,1963,3,6,NA,0,1.29175,4.875,1963-03-06
1963-03-07,1963,3,7,NA,0,1.33325,8.875,1963-03-07
1963-03-08,1963,3,8,NA,0,4.1665,31.125,1963-03-08
1963-03-09,1963,3,9,NA,0,3.2498750000000003,18.5,1963-03-09
1963-03-10,1963,3,10,NA,0,4.70825,45.625,1963-03-10
1963-03-11,1963,3,11,NA,0,3.333375,19.875,1963-03-11
1963-03-12,1963,3,12,NA,0,2.5,11.75,1963-03-12
1963-03-13,1963,3,13,NA,0,1.75,8.25,1963-03-13
1963-03-14,1963,3,14,NA,0,0.45825,2.0,1963-03-14
1963-03-15,1963,3,15,NA,0,0.58325,2.5,1963-03-15
1963-03-16,1963,3,16,NA,0,0.291625,1.5,1963-03-16
1963-03-17,1963,3,17,NA,0,0.8748750000000001,3.5,1963-03-17
